Keys,zh-CN,EN
开始游戏,开始游戏,play
打开设置,打开设置,Settings
新建,新建,New Save
删除,删除,Delete Game Saves
梅计划,梅计划,MeiErWo Plan
用户名:,用户名:,Username:
文件名:,文件名:,Filename:
存档数量:%d,存档数量:%d,Number of Saves: %d
退出游戏,退出游戏,Quit Game
用户名:%s\r%s保存时间:%s%s,用户名:%s\r%s保存时间:%s%s,Username:%s\r%sSave Time:%s%s
\r启用测试,\r启用测试,\rEnable Test Cheat Mode
挂机:%d\r,挂机:%d\r,Idle System: %d\r
挂机系统,挂机系统,AFK System
木料系统,木料系统,Lumber System
矿城系统,矿城系统,Mining City System
手工系统,手工系统,Crafting System
游历系统,游历系统,Wandering System
职业系统,职业系统,Profession System
召唤系统,召唤系统,Summoning System
挂机,挂机,AFK
木料,木料,Lumber
矿城,矿城,Mining City
手工,手工,Crafting
游历,游历,Wandering
职业,职业,Profession
召唤,召唤,Summoning
作者,作者,Author
精通,精通,Mastery
熟练,熟练,Proficiency
精通池,精通池,Mastery Pool
矿石,矿石,Ore
木材,木材,Wood
皮革,皮革,Leather
药草,药草,Herb
零件,零件,Rune_Stone
精华,精华,Gem_Essence
,##窗口名称,
默认,默认,Default
开始,开始,Start
测试,测试,Test
任务,任务,Quest
设置,设置,Settings
故事,故事,Story
原罪,原罪,Sin
暴食,暴食,Gluttony
傲慢,傲慢,Pride
贪婪,贪婪,Greed
合成,合成,Craft
抽奖,抽奖,Gacha
强化,强化,Enhance
烹饪,烹饪,Cook
炼金,炼金,Alchemy
背包,背包,Bag
订单,订单,Order
游戏,游戏,Game
水序,水序,Flow
冒险,冒险,Adventure
,##任务卡片,
<任务未解锁>,前置任务未解锁%d/%d,Unlocked %d/%d Prerequisite Missions
<前置任务>,下一个前置任务:%s,Next Prerequisite Mission: %s
最大,最大,Max
循环,循环,Loop
刷新,刷新,Refresh
接受任务,接受任务,Accept Mission
手动存档,手动存档,Manual Save
,##时间单位,
年,年,Year
天,天,Day
周,周,Week
时,时,Hour
分,分,Minute
秒,秒,Second
%s秒前,%s秒前,%ss ago
已保存,已保存,Saved
未保存,未保存,Unsaved
<任务暂停>,任务暂停中->\r,Task Paused->\r
<任务进行中>,进行中(正在记录任务目标)\r,Claimed (Recording objectives)\r
<任务已领取奖励>,奖励已领取,Reward Claimed
任务界面,任务界面,Quest Interface
任务点数,任务点数,Quest Points
主线任务,主线任务,Main Quests
循环任务,循环任务,Quests
任务统计,任务统计,Quest Stats
已完成,已完成,Show Completed
隐藏其他任务,隐藏其他任务,Hide Irrelevant
