名称,阶级,价值,名称_EN,简介,简介_EN,标签,分类,类型,职业,图纸集,icon,堆叠,矿石,木材,皮革,药草,零件,精华,冷却,属性
文本,整数,整数,文本,文本,文本,文本,文本,文本,文本,文本,图片,整数,浮点,浮点,浮点,浮点,浮点,浮点,浮点,字典
标准盾,3,190,Standard Shield,标准的一面盾,A standard shield,装备,护甲,盾牌,战士,标准骑士,res://素材/像素/标准盾.png,100,10,40,0,0,10,2,30,
标准头盔,3,170,Standard Helmet,标准的一个头盔,A standard helmet,装备,护甲,头盔,战士,标准骑士,res://素材/像素/标准头盔.png,100,25,0,5,0,10,2,30,
标准重甲,3,187,Standard Heavy Armor,标准的一副铠甲,A standard set of heavy armor,装备,护甲,重甲,战士,标准骑士,res://素材/像素/标准铠甲.png,100,40,0,7,0,10,2,30,
标准腿甲,3,180,Standard Leg Armor,标准的一副腿甲,A standard pair of leg armor,装备,护甲,腿甲,战士,标准骑士,res://素材/像素/标准腿甲.png,100,35,0,5,0,10,2,30,
标准鞋子,3,165,Standard Boots,标准的一双战靴,A standard pair of battle boots,装备,护甲,鞋子,战士,标准骑士,res://素材/像素/标准战靴.png,100,20,0,5,0,10,2,30,
标准剑,3,140,Standard Sword,标准的一把剑,A standard sword,装备,武器,长剑,战士,标准骑士,res://素材/像素/标准剑.png,100,15,5,0,0,10,1,30,
青铜剑,4,162,Bronze Sword,在标准剑基础上修改材质,Material modified based on the standard sword,装备,武器,长剑,战士,装备,res://素材/游戏素材/像素武器包/青铜剑.png,100,17,5,0,0,10,2,30,
铁剑,5,135,Iron Sword,材质为铁的一把标准剑,A standard sword made of iron,装备,武器,长剑,战士,装备,res://素材/游戏素材/像素武器包/铁剑.png,100,20,5,0,0,5,3,60,
墨羽笔杖,2,125,Ink Feather Staff,"具象化简单创意,勾勒世界的轮廓",Materializes simple ideas and outlines the contours of the world,装备/工具,工具,手杖,,装备,res://素材/豆包AI素材/装备/*,100,0,25,0,0,8,1,30,
绘世杖,5,225,World Painting Staff,"具象化简单创意,提升构建世界的丰富度",Materializes simple ideas and enhances the richness of world-building,装备/工具,工具,手杖,,装备,res://素材/豆包AI素材/装备/*,100,0,25,0,0,10,5,30,
